pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Metabolism,Reactome,435,GLDC;PI4K2B;EPHX2;GLYAT;AADAC;PPARA;ADAL;MAOB;ACADM;ACADSB;ACADVL;ACAT1;GGT6;ACOX1;CHDH;BCKDK;ETFDH;TPTE;PIPOX;CYGB;L2HGDH;DDAH2;PTGR2;ACOT4;B3GNT3;ADA;CYP39A1;ME1;ME2;PANK1;ADCY2;ADCY9;ACOX2;ACOX3;FABP4;FABP2;FABP3;FABP7;ADH4;ADK;AFMID;FAH;BPNT1;ACSM3;ACAD11;CHST15;SC5D;RAPGEF3;OSBPL1A;AGXT;OSBPL5;LYPLA1;AHR;SCP2;ACADL;PYGL;AK1;CHST12;PLA2G6;ALAS1;ALB;ECI2;SMPD3;PRKAG2;ALDH9A1;ALDH3A2;ALDOA;ALDOB;DHTKD1;BBOX1;ALDH6A1;SDC1;ALOX12;ALOX5;OPLAH;MPST;PLCD3;AMPD1;AMPD3;ADCY4;CPS1;FMO2;FMO3;MAT1A;HACD3;FOLR2;CPT1A;FLVCR1;IYD;SHMT1;CHSY1;GPAM;DDO;APOA4;SRR;ST3GAL2;CHST1;ACOT1;ACSF2;NUBPL;PAICS;SLC2A2;KMO;ARSG;FMOD;NUP35;BCO1;ARG1;TPK1;SLC6A12;ITPKC;SEPHS2;KYNU;RPIA;AS3MT;NDC1;SLC10A2;SLC10A1;PLCD1;PLPP1;GSTK1;SLC16A1;MTHFD1;CERS4;SLC22A1;SLC22A5;GNB5;ASPA;AOC3;GOT2;ABCB11;PNPLA3;PLPP2;FUT2;SLC37A4;ALDH7A1;SORD;B4GALT2;ACER2;PECR;UPB1;MBOAT1;CHST14;ACSS1;UGT3A1;BAAT;SRD5A1;AKR1D1;CHAC2;LPCAT4;GBE1;BCAT1;LHPP;BCHE;GCDH;BCKDHB;UROC1;MCCC2;ALDH1L1;SUCLG2;SUCLG1;HPSE;SLC26A1;BDH1;PGAM2;INPP4B;GGT1;ME3;IQGAP1;BHMT;GGT7;SLC35D1;LYVE1;ADHFE1;SULT1B1;GK;GPC3;SUOX;SYNJ2;DGAT2;GCLM;BST1;VNN1;SDC3;GLUD1;GLUL;ACSF3;GNAI1;ACOT2;ELOVL7;DDHD2;PPIP5K2;GPT2;NNMT;GNG11;GNGT2;GPAT4;NOS3;SDS;TAT;GOT1;SLC27A5;SLC27A2;GPD1;CACNA1C;CACNA1D;FUT10;PLEKHA8;SLC25A20;ACSL1;HYKK;GPT;RAPGEF4;GPAT3;OAT;B3GNT7;ACAD10;TDO2;CAV1;OMD;PLA2G4E;SERPINA6;PAPSS2;HIBADH;OGN;CBR3;CBS;CERS5;CYB5B;GSTZ1;MFSD2A;OTC;OXCT1;QPRT;MID1IP1;GYS2;PAH;TM7SF2;MGST1;KYAT3;CDA;HSD17B10;HADHA;HADHB;HADH;HAL;ACMSD;PLA1A;PCCA;PCCB;NNT;PCK1;CHP1;CMBL;TPMT;HGD;SDSL;CDO1;PHYKPL;DDAH1;PDK4;ENPP1;GNG2;GLYCTK;ELOVL5;HLCS;MGLL;HMGCS2;PFKFB1;PFKFB2;CYP2S1;PFKFB4;HAO1;HNMT;TTPA;FMO1;B4GALT6;AHCY;PRKD3;CKM;CKMT2;PHKG1;PHYH;SGMS1;PIK3C2G;HPD;SHPK;UCP3;PIP4K2A;UGDH;BHMT2;UGP2;PKLR;PKM;FADS2;PLCB4;PLA2G4F;UGT3A2;PLCG2;UQCRC2;CHST2;ABCC2;HSD17B4;HILPDA;CHAC1;VDR;ABCG2;CERS2;DMGDH;PRKD2;HSPG2;CERK;TNFAIP8;NUDT7;CYP26B1;HYAL1;UGT1A5;ACBD5;PTGES;PON1;PON3;THTPA;PM20D1;PODXL2;CHST11;PPA1;IDH1;CPOX;ASB15;IDI1;CPT2;CRAT;ACOT12;UGT1A1;AGXT2;IDO2;CROT;TKFC;SDC2;CYP2R1;PDP1;VCAN;PRKAA2;AGMO;PRKAR1B;PRKAR2A;PPIP5K1;DECR2;PNPLA8;CTH;GC;SELENOI;FITM2;CHST3;GDPD1;CYP1A1;CYP1B1;CYP2E1;CYP4B1;CYP7A1;CYP8B1;CYP17A1;INPP5D;CYP26A1;ACSM1;ABHD3;RPL3L;SERINC2;DBT;RETSAT;DDC;PTGS2;ELOVL2;AMT;LCLAT1;ITPKA;NSDHL;IVD;DECR1;HSD17B7;GDPD5;PTGIS;NUDT12;POM121;CHPT1;HIBCH;DHCR24;DHFR;AKR1B10;ARNT2;NQO1;PXMP2;DIO1;LPGAT1;ALDH18A1;PYGB;ACSM5;DLST;ACP6;SARDH;HS3ST3A1;HS3ST1;SLC23A1;ADIPOR2;NR1H4;ITPR3;ACSS3;DPEP1;DPYD;DPYS;SLC25A21;ENTPD5;AADAT;SLC44A2;LBR;SLC25A16;LDHA;LDHB;PNPO;UPP2;SEPSECS;NADSYN1;FADS1;EHHADH;AASS;SLC25A13;SLC25A15;UGT2A3;ETNK2;HSD17B12;ADI1;DSEL;HSD17B11;ENO3;APOB,1952 (1954),7.47e-32,3.5e-28,9,HMDB0000036;HMDB0010404;HMDB0006752;HMDB0001860;HMDB0010711;HMDB0000128;HMDB0000273;HMDB0013461;HMDB0002183,863 (1411),0.231,1,1.28e-30,3.98e-27
Extracellular matrix organization,Reactome,109,PHYKPL;HTRA1;ADAM19;PDGFB;SPP1;ASPN;ADAM15;PECAM1;HSPG2;ITGA6;DDR1;COL6A5;LAMC3;ITGA3;ITGA5;ITGAL;ITGAM;ADAM8;ADAM10;ITGB2;ITGB4;ITGB6;ITGB7;ITGB8;JAM2;CAPN8;BMP2;MFAP4;FBLN1;FBLN2;FBN1;PXDN;COL16A1;BMP10;ADAMTS9;COMP;CMA1;FGA;FGB;FGF2;NID1;KDR;CAPN5;MMP2;FGG;MMP7;MMP9;MMP12;MMP13;MMP17;LTBP4;KLKB1;SDC1;SDC2;JAM3;COL1A1;COL1A2;COL3A1;COL4A1;COL28A1;COL4A2;COL4A4;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;COL8A1;FBLN5;VTN;COL13A1;COL15A1;FMOD;COL17A1;FN1;ADAMTS2;ADAMTS1;P3H3;PLG;TNC;TMPRSS6;ICAM2;DDR2;LAMA2;LAMA4;LAMA5;LAMB1;LAMB2;LAMB3;LAMC1;LAMC2;ADAMTS8;ADAMTS5;SERPINH1;TGFB2;TGFB3;NTN4;THBS1;ITGA8;TIMP2;LOX;LOXL1;VCAN;SDC3;LTBP1;LTBP2;LTBP3;TNXB;PCOLCE,287 (287),4.05e-26,9.47e-23,0,,21 (30),1,1,2.41e-24,3.75e-21
Fatty acid metabolism,Reactome,64,SCP2;DECR1;ACSL1;EPHX2;CYP1A1;DPEP1;CYP1B1;PHYH;PECR;SLC25A20;CROT;NUDT7;FADS1;ACSM3;ALOX12;MID1IP1;ACAD11;ACADM;ACADVL;HACD3;EHHADH;CYP4B1;CYP8B1;ACOX1;PRKAG2;CPT2;SLC22A5;PRKAA2;ACBD5;PTGR2;PTGES;ELOVL5;PON1;ACOX3;PON3;FADS2;HSD17B12;ACSF3;DECR2;ACAD10;ACOT2;HADHA;ECI2;HADHB;HADH;ACOT4;ACOT1;ACSF2;CPT1A;HSD17B4;ALDH3A2;ACADL;PCCA;PCCB;PTGIS;PTGS2;ALOX5;CRAT;ELOVL2;ACOX2;GGT1;ELOVL7;SLC27A2;ACOT12,176 (177),8.88e-15,1.39e-11,2,HMDB0010404;HMDB0002183,182 (257),0.436,1,1.32e-13,1.38e-10
Beta1 integrin cell surface interactions,PID,34,COL3A1;COL4A1;COL4A4;COL5A1;COL5A2;COL6A1;COL6A2;COL6A3;THBS1;FBN1;FGB;FN1;SPP1;TNC;VTN;FGA;ITGA8;LAMA4;ITGA6;LAMB1;LAMB2;LAMB3;LAMC1;LAMC2;LAMA5;FGG;ITGA3;ITGA5;NID1;F13A1;JAM2;LAMA2;COL1A1;COL1A2,66 (66),1.42e-13,1.66e-10,0,,0 (0),1,1,1.42e-13,1.66e-10
Metabolism of lipids,Reactome,153,GDPD1;PI4K2B;ACP6;CYP1A1;CYP1B1;TPTE;PECR;MBOAT1;ACER2;ACADL;ACADM;CYP2E1;ACADVL;ACAT1;CYP4B1;CYP7A1;CYP8B1;CYP17A1;INPP5D;CPT1A;BAAT;SRD5A1;AKR1D1;ELOVL5;ABHD3;LPCAT4;PTGR2;GC;MGLL;SLC22A5;ACOT2;HMGCS2;ACOT4;CYP39A1;PTGIS;BDH1;PTGS2;LPGAT1;ELOVL2;ACOX2;GGT1;FABP4;FABP2;FABP3;FABP7;NSDHL;DECR1;PRKD3;ACSL1;GDPD5;PHYH;GK;ACSM3;MID1IP1;ACAD11;CHPT1;PLA1A;SYNJ2;PIK3C2G;DGAT2;DHCR24;PIP4K2A;OSBPL1A;OSBPL5;ACOX3;SCP2;FADS2;ACSF3;OXCT1;LCLAT1;PLA2G6;INPP4B;ALB;ECI2;SMPD3;DDHD2;EPHX2;PRKAG2;HSD17B4;ALDH3A2;HILPDA;PLPP1;GPAT4;ALOX12;ALOX5;NR1H4;PLEKHA8;SLC27A5;SLC27A2;ACSS3;VDR;PLA2G4F;GPD1;CERS2;DPEP1;PRKD2;CERK;TNFAIP8;SLC25A20;HSD17B7;NUDT7;HACD3;ACOX1;ACBD5;PTGES;SLC44A2;GPAT3;PON1;PON3;GPAM;ACAD10;PPARA;LBR;ACOT1;ACSF2;IDI1;CPT2;PLA2G4E;SERPINA6;CRAT;ARSG;ACOT12;CERS5;MFSD2A;CROT;FADS1;SLC10A1;SLC10A2;CYP2R1;PLPP2;EHHADH;CERS4;SGMS1;ETNK2;PRKAA2;AGMO;TM7SF2;ABCB11;HSD17B12;DECR2;PNPLA8;HADH;PNPLA3;BCHE;HADHA;HADHB;SELENOI;SC5D;HSD17B11;FITM2;PCCA;PCCB;ELOVL7,645 (646),2.44e-13,2.29e-10,6,HMDB0000036;HMDB0010404;HMDB0006752;HMDB0010711;HMDB0013461;HMDB0002183,352 (626),0.0532,1,4.29e-13,3.34e-10
Peroxisome - Homo sapiens (human),KEGG,36,ACSL1;EPHX2;NUDT12;PHYH;PECR;CROT;NUDT7;MPV17L;GSTK1;PEX5;EHHADH;ACOX1;PEX3;BAAT;AGXT;PEX19;ABCD3;PXMP2;PIPOX;PEX1;SCP2;PEX7;PEX13;DECR2;DDO;ECI2;IDH1;HAO1;HSD17B4;PEX11A;ABCD2;CAT;CRAT;ACOX2;ACOX3;SLC27A2,82 (82),1.2e-11,5.11e-09,0,,0 (0),1,1,1.2e-11,5.11e-09
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),Reactome,49,FSTL1;QSOX1;MFGE8;FBN1;IGFALS;SERPINA10;PRSS23;FN1;IGFBP6;IGFBP7;APOA5;SPP1;IGFBP1;TNC;VCAN;MXRA8;GAS6;RCN1;FGA;AHSG;HRC;LAMB1;LAMB2;LAMC1;CHRDL1;CP;PAPPA;C3;APOB;SPARCL1;SERPINC1;VWA1;MMP2;CKAP4;PLG;APP;MIA3;PENK;ADAM10;F5;SERPIND1;FGG;SDC2;ITIH2;KNG1;LGALS1;LTBP1;GPC3;ALB,124 (124),3.29e-13,2.56e-10,0,,3 (3),1,1,9.78e-12,6.09e-09
Amino Acid metabolism,Wikipathways,40,BHMT;MPST;FAH;OTC;IDH1;ACADM;HIBCH;SDS;GCLM;PDK4;ACSS1;GLUD1;AOC3;GLUL;PKM;ALDH18A1;BCAT1;ALDH7A1;SUCLG1;OAT;DLST;CTH;HMGCS2;TDO2;HADH;HAL;CPS1;GPT2;LDHA;HIBADH;CBS;DDC;HNMT;TAT;PCK1;GOT1;GOT2;ADH4;EHHADH;ARG1,91 (91),8.29e-13,5.54e-10,1,HMDB0000128,92 (108),0.531,1,1.3e-11,6.73e-09
Complement and coagulation cascades - Homo sapiens (human),KEGG,36,CFH;CFHR1;F8;THBD;VTN;FGB;VWF;C7;F11;PLG;FGA;CD55;ITGB2;SERPINC1;C3AR1;CPB2;CD46;C3;C5AR1;C6;FGG;C8A;C8B;C9;CFI;ITGAM;CR2;KLKB1;SERPIND1;F9;BDKRB2;F13A1;KNG1;F13B;F5;MASP2,85 (85),4.27e-11,9.91e-09,0,,0 (1),1,1,4.27e-11,9.91e-09
Post-translational protein phosphorylation,Reactome,44,FSTL1;QSOX1;MFGE8;FBN1;SERPINA10;PRSS23;FN1;IGFBP7;APOA5;SPP1;IGFBP1;TNC;VCAN;MXRA8;GAS6;RCN1;FGA;AHSG;HRC;LAMB1;LAMB2;LAMC1;CHRDL1;CP;C3;APOB;SPARCL1;SERPINC1;VWA1;CKAP4;APP;MIA3;PENK;ADAM10;F5;SERPIND1;FGG;SDC2;ITIH2;KNG1;LGALS1;LTBP1;GPC3;ALB,107 (107),1.03e-12,6.04e-10,0,,2 (2),1,1,2.95e-11,1.31e-08
