pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Metabolism,Reactome,52,HEXA;GSTM3;GSTM4;ATP5MC2;PKLR;IDO2;DPYS;FASN;UPB1;NUDT7;PON1;SLC10A1;BPHL;COMT;PYGL;ASPG;SLCO2B1;CYP8B1;INMT;INPP5D;CSAD;FDX1;UGT2A3;CYP27A1;AOX1;ACSM1;AKR1D1;AACS;ACSL1;TM7SF2;MVK;GBE1;ACSM5;HAAO;CYP7B1;HACL1;APOA2;KHK;GCK;ALDH1L1;ACADSB;LBR;ACSS2;CTPS1;GNMT;ME1;HNMT;SLC2A2;ALDH7A1;SLC27A5;CA3;CA5A,1952 (1954),2.02e-22,9.46e-19,9,HMDB0000036;HMDB0010404;HMDB0006752;HMDB0001860;HMDB0010711;HMDB0000128;HMDB0000273;HMDB0013461;HMDB0002183,863 (1411),0.231,1,2.45e-21,2.82e-18
Metabolism of steroids,Reactome,11,TM7SF2;FDX1;CYP7B1;CYP8B1;SLC27A5;FASN;MVK;CYP27A1;LBR;SLC10A1;AKR1D1,124 (124),4.1e-10,9.58e-07,1,HMDB0000036,113 (142),0.607,1,5.74e-09,3.31e-06
Metabolism of lipids,Reactome,19,AACS;ACSL1;GSTM4;MVK;HEXA;PON1;CYP7B1;HACL1;CYP8B1;SLC27A5;FASN;INPP5D;FDX1;NUDT7;CYP27A1;SLC10A1;TM7SF2;LBR;AKR1D1,645 (646),2.2e-08,2.13e-05,6,HMDB0000036;HMDB0010404;HMDB0006752;HMDB0010711;HMDB0013461;HMDB0002183,352 (626),0.0532,1,2.53e-08,9.7e-06
Biological oxidations,Reactome,12,COMT;GSTM3;GSTM4;CYP7B1;ACSM5;CYP8B1;ACSS2;FDX1;UGT2A3;CYP27A1;ACSM1;BPHL,219 (219),1.58e-08,2.13e-05,1,HMDB0001860,231 (320),0.858,1,2.59e-07,3.68e-05
Bile acid biosynthesis,EHMN,7,CYP7B1;CYP8B1;ALDH7A1;SLC27A5;CYP27A1;SLC10A1;AKR1D1,53 (53),4.53e-08,2.13e-05,1,HMDB0000036,47 (55),0.318,1,2.75e-07,3.68e-05
Primary bile acid biosynthesis - Homo sapiens (human),KEGG,5,CYP27A1;AKR1D1;CYP7B1;SLC27A5;CYP8B1,17 (17),5.9e-08,2.13e-05,1,HMDB0000036,40 (47),0.278,1,3.1e-07,3.68e-05
Bile Acid Biosynthesis,SMPDB,5,CYP27A1;CYP8B1;CYP7B1;SLC27A5;AKR1D1,17 (17),5.9e-08,2.13e-05,1,HMDB0000036,58 (64),0.377,1,4.15e-07,3.68e-05
27-Hydroxylase Deficiency,SMPDB,5,CYP27A1;CYP8B1;CYP7B1;SLC27A5;AKR1D1,17 (17),5.9e-08,2.13e-05,1,HMDB0000036,58 (64),0.377,1,4.15e-07,3.68e-05
Congenital Bile Acid Synthesis Defect Type II,SMPDB,5,CYP27A1;CYP8B1;CYP7B1;SLC27A5;AKR1D1,17 (17),5.9e-08,2.13e-05,1,HMDB0000036,58 (64),0.377,1,4.15e-07,3.68e-05
Cerebrotendinous Xanthomatosis (CTX),SMPDB,5,CYP27A1;CYP8B1;CYP7B1;SLC27A5;AKR1D1,17 (17),5.9e-08,2.13e-05,1,HMDB0000036,58 (64),0.377,1,4.15e-07,3.68e-05
